         100 2041.336
        1409
0 0
  1             -5             70             13
  2            -17             69            122
  3            -19             85             30
  4              9             99              3
  5             15             82              5
  6            -21            102            422
  7            -16             68             13
  8             15             72             22
  9             12             78            173
 10              1            102             41
 11             15             91              8
 12              9             83              8
 13              2             82            110
 14             -7             76            198
 15            -17             79            384
 16             12             70            193
 17            -18             99            238
 18             -9            104            265
 19              9            -24              3
 20             23            -34            469
 21              9            -44              7
 22             12            -30              6
 23             16            -36            108
 24             40            -21             10
 25             39            -15             40
 26             42             -6            635
 27             29            -43             49
 28             20             -8            149
 29             24            -38            403
 30             47            -15             42
 31             34            -28             70
 32             41            -39            201
 33             39            -30             66
 34             23            -34            526
 35             38             -8              6
 36             20            -40            279
 37             21             -9            160
 38             46            -13              3
 39             90             67              4
 40             70             39            105
 41             78             73             46
 42             49             47            474
 43             45             75              7
 44             86             61              7
 45             86             59             99
 46             54             65            126
 47             46             38            119
 48             63             68             46
 49             55             74            273
 50             62             69             91
 51             58             70            294
 52             25             17              4
 53              7              1             81
 54              8              6            285
 55             12             -2             90
 56             14             -7            462
 57             13             -1             65
 58              8             12              6
 59             25             13              4
 60             11              3            529
 61             15             -7            165
 62              4             -6              4
 63             18             -4            394
 64             10             -1              3
 65             16            -10             60
 66             96              5            899
 67             60             28            169
 68             75            -19             10
 69            107              5             47
 70             70             -4             37
 71            110             -2             23
 72             90              3             25
 73             80            -17            444
 74             59            -21              3
 75             83             14             99
 76            -56             62             58
 77            -39             71              7
 78            -40             72             11
 79            -41             77             15
 80            -37             78            381
 81            -31             70              7
 82            -52             81             39
 83            -50             81            502
 84            -41             77            115
 85            -35             85             85
 86            -41             71              3
 87            -57             72            136
 88            -47             74            111
 89            -56             70             66
 90            -32             82             50
 91            -50             69            252
 92            -57             86              4
 93            -33             79            119
 94            -64             71            746
 95            -58             56              6
 96            -74             69             51
 97            -65             57            322
 98              1             56           1023
 99             12             41              5
100             24             53             10
11 0 999999
13 52 47 46 43 11 4 10 18 6 17 3 2 7 282.1264007 1398
6 64 63 26 35 37 28 87.13346364 1347
7 91 88 82 92 83 80 93 218.3983607 1408
16 19 22 23 36 27 32 33 31 24 74 68 73 30 38 25 65 216.6599448 1394
9 59 67 40 75 66 69 71 72 70 255.6474477 1408
6 56 61 55 57 60 53 39.91298102 1392
5 21 29 20 34 62 106.2385744 1409
7 76 89 87 94 96 97 95 213.7452144 1385
18 81 77 86 78 84 79 85 90 15 14 1 13 12 5 9 8 16 99 253.5172683 1404
3 54 58 98 116.5622667 1314
10 42 45 44 39 41 48 50 51 49 100 251.3945427 1344
