         150 3055.23
        1544
0 0
  1             -4            106             13
  2            -11            106            122
  3            -12            115             30
  4              4            123              3
  5              7            113              5
  6            -13            125            422
  7            -11            105             13
  8              8            107             22
  9              6            111            173
 10              0            125             41
 11              8            118              8
 12              4            114              8
 13              0            113            110
 14             -5            109            198
 15            -11            112            384
 16              6            106            193
 17            -11            123            238
 18             -6            126            265
 19             26            -33              3
 20             34            -38            469
 21             26            -44              7
 22             28            -36              6
 23             30            -39            108
 24             44            -31             10
 25             43            -27             40
 26             45            -22            635
 27             37            -44             49
 28             32            -23            149
 29             35            -41            403
 30             48            -27             42
 31             41            -35             70
 32             45            -41            201
 33             43            -36             66
 34             34            -38            526
 35             43            -23              6
 36             32            -41            279
 37             33            -24            160
 38             48            -26              3
 39            102             85              4
 40             90             69            105
 41             95             88             46
 42             79             74            474
 43             77             89              7
 44             99             81              7
 45             99             80             99
 46             81             84            126
 47             77             69            119
 48             86             85             46
 49             82             89            273
 50             86             86             91
 51             84             87            294
 52             23             14              4
 53             13              4             81
 54             13              7            285
 55             16              2             90
 56             17             -1            462
 57             16              3             65
 58             13             10              6
 59             23             11              4
 60             15              5            529
 61             17             -1            165
 62             11              0              4
 63             19              1            394
 64             14              3              3
 65             18             -3             60
 66            118              8            899
 67             99             21            169
 68            106             -5             10
 69            124              8             47
 70            104              3             37
 71            126              4             23
 72            115              7             25
 73            110             -3            444
 74             98             -6              3
 75            111             13             99
 76            -67             90             58
 77            -56             96              7
 78            -56             97             11
 79            -57            100             15
 80            -54            101            381
 81            -50             96              7
 82            -64            103             39
 83            -63            103            502
 84            -57            100            115
 85            -53            106             85
 86            -57             96              3
 87            -67             97            136
 88            -61             98            111
 89            -66             95             66
 90            -51            104             50
 91            -62             95            252
 92            -67            106              4
 93            -51            102            119
 94            -86             87            746
 95            -82             78              6
 96            -92             86             51
 97            -86             78            322
 98              6             67           1023
 99             13             59              5
100             21             66             10
101              8             59            153
102             20             70             29
103              1             62             13
104             19             57              3
105             15             70              4
106             20             55             70
107              8             51              9
108              3             54            147
109             18             68              3
110             12             53             10
111              3             65              4
112              4             62            439
113             19             52             14
114             92            -28            729
115             92            -26             29
116             80            -28              3
117             91            -18             98
118             93            -24            113
119             76            -15            122
120             88            -33             11
121             83            -28             90
122             86            -23            789
123             92            -20              6
124             82            -29            179
125             88            -29              3
126             82            -27              3
127             88            -13             21
128             83            -29            869
129             90            -17            246
130             49             -4             10
131             58             -6             36
132             64             -7             14
133             54            -15            134
134             66             -3            175
135             65            -13             32
136             57            -20             20
137             38             -2            212
138            -44             88             45
139            -36            100            173
140            -37             98            240
141            -39            110             16
142            -34            111             27
143            -47            111             61
144            -28            105            203
145            -38             98              5
146            -32             91            369
147            -25             97             81
148            -46            111            128
149            -36            107            406
150            -35             92             32
